Year,Democrat_Votes_1k,Republican_Votes_1k,Democrat_Electoral_Votes,Republican_Electoral_Votes,Democrat_Candidate,Republican_Candidate
1940,27313,22348,449,82,F.D.Roosevelt,Willkie
1944,25613,22018,432,99,F.D.Roosevelt,Dewey
1948,24106,21969,303,189,Truman,Dewey
1952,27315,33779,89,442,Stevenson,Eisenhower
1956,26023,35590,73,457,Stevenson,Eisenhower
1960,34227,34108,303,219,Kennedy,Nixon
1964,42825,27147,486,52,Johnson,Goldwater
1968,30989,31710,191,301,Humphrey,Nixon
1972,28902,46740,17,520,McGovern,Nixon
1976,40826,39148,297,240,Carter,Ford
1980,35481,43643,49,489,Carter,Reagan
1984,37450,54167,13,525,Mondale,Reagan
1988,41717,48643,111,426,Dukakis,Bush
1992,44858,38799,370,168,Clinton,Bush
1996,47402,39198,379,159,Clinton,Dole
2000,50996,50465,266,271,Gore,Bush
2004,58895,61837,251,286,Kerry,Bush
2008,69298,59598,365,173,Obama,McCain
2012,65444,60588,332,206,Obama,Romney
